거래소코드,회사명,회계년도,PEG
10060,OCI(주),2011,0.5274195657194672
10060,OCI(주),2012,-2.0688924509789373
10060,OCI(주),2013,
10060,OCI(주),2014,-2.2721288660759376
10060,OCI(주),2015,
10060,OCI(주),2016,0.1355286474429432
10060,OCI(주),2017,0.1562341711042089
10060,OCI(주),2018,1.3508283230137856
10060,OCI(주),2019,
96770,SK이노베이션(주),2011,0.4359045439422065
96770,SK이노베이션(주),2012,1.3233390987849476
96770,SK이노베이션(주),2013,-1.4612945670178674
96770,SK이노베이션(주),2014,-1.2992006563353828
96770,SK이노베이션(주),2015,
96770,SK이노베이션(주),2016,
96770,SK이노베이션(주),2017,0.08447442557822013
96770,SK이노베이션(주),2018,0.02602454838555998
96770,SK이노베이션(주),2019,0.31204966375553195
64960,SNT모티브(주),2011,4.304267800112437
64960,SNT모티브(주),2012,0.3786348477415082
64960,SNT모티브(주),2013,-1.146553340085161
64960,SNT모티브(주),2014,-4.235050485804645
64960,SNT모티브(주),2015,0.33291875137358284
64960,SNT모티브(주),2016,-8.284912440913454
64960,SNT모티브(주),2017,87.65816635665172
64960,SNT모티브(주),2018,-0.8948626567861694
64960,SNT모티브(주),2019,0.36714240342126
3570,SNT중공업(주),2011,0.7472451556943299
3570,SNT중공업(주),2012,-1.2992372194481887
3570,SNT중공업(주),2013,-1.8604563310203455
3570,SNT중공업(주),2014,-5.66227291861131
3570,SNT중공업(주),2015,6.4812312099568565
3570,SNT중공업(주),2016,
3570,SNT중공업(주),2017,
3570,SNT중공업(주),2018,-0.8311178567939091
3570,SNT중공업(주),2019,0.2848010998987717
71970,STX중공업(주),2011,-0.6453483612687323
71970,STX중공업(주),2012,-0.9394255799260876
71970,STX중공업(주),2013,
71970,STX중공업(주),2014,
71970,STX중공업(주),2015,
71970,STX중공업(주),2016,
71970,STX중공업(주),2017,0.004619309066592783
71970,STX중공업(주),2018,
71970,STX중공업(주),2019,0.0
78890,가온미디어(주),2011,0.0
78890,가온미디어(주),2012,0.0989256517252228
78890,가온미디어(주),2013,-1.2582007913793616
78890,가온미디어(주),2014,0.1301866281409564
78890,가온미디어(주),2015,1.9140769512745441
78890,가온미디어(주),2016,0.3050118751309038
78890,가온미디어(주),2017,-0.8497223242328222
78890,가온미디어(주),2018,-1.3863852754067512
78890,가온미디어(주),2019,-5.966695074504147
500,가온전선(주),2011,
500,가온전선(주),2012,-0.36590215626012945
500,가온전선(주),2013,2.735231768631488
500,가온전선(주),2014,7.8228963083813445
500,가온전선(주),2015,-1.614555823805554
500,가온전선(주),2016,-0.9328749707450955
500,가온전선(주),2017,6.990917444246033
500,가온전선(주),2018,-7.568530729306084
500,가온전선(주),2019,0.3987878473692544
860,강남제비스코(주),2011,0.22398126509784572
860,강남제비스코(주),2012,-1.3717132529643614
860,강남제비스코(주),2013,3.7975449178093124
860,강남제비스코(주),2014,0.5789961267401647
860,강남제비스코(주),2015,2.0817458125431907
860,강남제비스코(주),2016,-11.090813617347441
860,강남제비스코(주),2017,-1.030039411696416
860,강남제비스코(주),2018,-1.1900016699787612
860,강남제비스코(주),2019,-4.076797263897427
94480,갤럭시아머니트리(주),2011,
94480,갤럭시아머니트리(주),2012,-3.7119549583208897
94480,갤럭시아머니트리(주),2013,0.0
94480,갤럭시아머니트리(주),2014,2.198273012767649
94480,갤럭시아머니트리(주),2015,1.4162947437946225
94480,갤럭시아머니트리(주),2016,0.24557143386244057
94480,갤럭시아머니트리(주),2017,0.7942276192205506
94480,갤럭시아머니트리(주),2018,1.5665574385038736
94480,갤럭시아머니트리(주),2019,0.6342133638004286
11040,경동제약(주),2011,0.27690934441734893
11040,경동제약(주),2012,-1.282871655655503
11040,경동제약(주),2013,-6.275618483768029
11040,경동제약(주),2014,1.4845384458294537
11040,경동제약(주),2015,1.199704237492433
11040,경동제약(주),2016,-4.084817240744795
11040,경동제약(주),2017,-2.0015498297777765
11040,경동제약(주),2018,-1.5337494674053427
11040,경동제약(주),2019,-0.7852458090971352
9140,경인전자(주),2011,-0.712456740288837
9140,경인전자(주),2012,-0.684706449694769
9140,경인전자(주),2013,-0.7945053279719299
9140,경인전자(주),2014,-2.8612831749875944
9140,경인전자(주),2015,0.9915659055856679
9140,경인전자(주),2016,
9140,경인전자(주),2017,
9140,경인전자(주),2018,-6.341631493080751
9140,경인전자(주),2019,0.9131924004217125
24910,경창산업(주),2011,1.2391052569625598
24910,경창산업(주),2012,0.1821256793597021
24910,경창산업(주),2013,0.20207125130130543
24910,경창산업(주),2014,0.08790746619293585
24910,경창산업(주),2015,-1.6661639875020369
24910,경창산업(주),2016,-0.47619396108635786
24910,경창산업(주),2017,
24910,경창산업(주),2018,-0.0
24910,경창산업(주),2019,
13580,계룡건설산업(주),2011,-0.5930333658124307
13580,계룡건설산업(주),2012,-0.7360227395109644
13580,계룡건설산업(주),2013,
13580,계룡건설산업(주),2014,
13580,계룡건설산업(주),2015,0.17068528875541963
13580,계룡건설산업(주),2016,0.2059113754313592
13580,계룡건설산업(주),2017,0.09925132094009143
13580,계룡건설산업(주),2018,0.04194803041386882
13580,계룡건설산업(주),2019,0.037457469347948705
12200,계양전기(주),2011,0.6243873507344959
12200,계양전기(주),2012,0.6140702416267696
12200,계양전기(주),2013,1.3504430827097351
12200,계양전기(주),2014,-1.6839525958783952
12200,계양전기(주),2015,3.68974777404145
12200,계양전기(주),2016,0.39405645516774096
12200,계양전기(주),2017,2.07217024160545
12200,계양전기(주),2018,-2.3435704686657823
12200,계양전기(주),2019,
2140,고려산업(주),2011,0.11841194560134567
2140,고려산업(주),2012,-0.253091102069489
2140,고려산업(주),2013,-0.5441831073004756
2140,고려산업(주),2014,-0.2540301932486246
2140,고려산업(주),2015,-0.31135864906641275
2140,고려산업(주),2016,2.6446294149393044
2140,고려산업(주),2017,-1.864663772248812
2140,고려산업(주),2018,-1.6463705563672422
2140,고려산업(주),2019,-3.581114543762924
10130,고려아연(주),2011,0.29980366560059807
10130,고려아연(주),2012,0.9810248948656594
10130,고려아연(주),2013,-8.40199356624886
10130,고려아연(주),2014,-1.2884500905899914
10130,고려아연(주),2015,-2.888676890192556
10130,고려아연(주),2016,3.589711182650042
10130,고려아연(주),2017,3.544951848534577
10130,고려아연(주),2018,-9.034137987033615
10130,고려아연(주),2019,8.250372477123948
2240,고려제강(주),2011,-0.5249858899537385
