회계년도,거래소코드,PBR,PER,기업규모코드,매출액,매출액순이익률,매출액증가율,성장비용,영업손익,자기자본회전률,종가,주당순손익,총자본회전률,회사명,부채자본비율,현금흐름스코어,수익률,투자신호,PEG
2013,1940,0.31,17.545,30.0,1327639493.0,1.5,123.2,0.0,7286624.0,1.44,39550.0,0.0,1.23,KISCO홀딩스(주),0.0181161598678425,2,24.399494310998733,1,-0.6538548912480888
2014,1940,0.345,18.09,30.0,1159414128.0,1.28,-12.67,0.0,6826547.0,1.02,49200.0,0.0,0.84,KISCO홀딩스(주),0.0194956555860552,2,26.42276422764228,1,0.2605733031342609
2015,1940,0.4349999999999999,11.54,30.0,1087462735.0,7.18,-6.21,0.0,90358160.0,0.93,62200.0,0.0,0.78,KISCO홀딩스(주),0.0181161598678425,2,-1.607717041800643,0,0.3304482468025453
2016,1940,0.43,19.57,30.0,1058058473.0,7.36,-2.7,0.0,87056280.0,0.85,61200.0,0.0,0.73,KISCO홀딩스(주),0.0181161598678425,2,21.24183006535948,1,1.9779762114660595
2017,1940,0.48,21.635,30.0,1221253735.0,-0.59,15.42,0.0,97354947.0,0.96,74200.0,0.0,0.82,KISCO홀딩스(주),0.0181161598678425,2,-81.46900269541779,0,2.645261717546114
2011,16380,0.295,0.0,10.0,4259506242.0,-5.09,16.02,10617000.0,23359411.0,2.65,6000.0,0.0,0.81,KG스틸(주),2.453546537056201,2,-34.166666666666664,0,-0.0
2012,16380,0.195,0.0,10.0,3934192553.0,-2.8,-7.64,10245000.0,16910452.0,2.68,3950.0,0.0,0.74,KG스틸(주),2.447392513969161,2,-32.0253164556962,0,1000.0
2013,16380,0.14,0.0,10.0,3781241475.0,-3.72,-3.89,9906000.0,25867042.0,2.72,2685.0,0.0,0.72,KG스틸(주),2.7296204883018085,1,-47.67225325884544,0,1000.0
2014,16380,5.545,0.0,10.0,3024439786.0,-42.36,-20.01,9384000.0,-68390163.0,4.33,1405.0,0.0,0.7,KG스틸(주),6.139021859069174,0,272.9537366548043,1,1000.0
2015,16380,4.739999999999999,0.0,30.0,2320792157.0,-2.07,-23.27,6777000.0,78584907.0,9.59,5240.0,0.0,0.74,KG스틸(주),6.139021859069174,1,177.67175572519085,1,-0.0
2016,16380,2.575,0.0,30.0,2328039348.0,-3.12,0.31,3822000.0,143611068.0,9.59,14550.0,0.0,0.81,KG스틸(주),6.139021859069174,2,-49.00343642611684,0,-0.0
2017,16380,1.83,0.0,30.0,2596196911.0,-4.8,11.52,3283000.0,-11767707.0,9.59,7420.0,0.0,0.94,KG스틸(주),6.139021859069174,1,-13.477088948787062,0,0.0
2011,44180,0.38,8.030000000000001,20.0,63500533.0,-23.61,2.83,0.0,1729291.0,2.1,105.0,0.0,0.76,KD(주),0.4997791208238936,2,22.857142857142858,1,0.3074294608471148
2012,44180,4.19,0.0,20.0,12545430.0,-121.8,-58.01,0.0,679942.0,0.75,129.0,0.0,0.25,KD(주),1.3300082266914426,1,38.75968992248063,1,0.0
2013,44180,3.615,0.0,20.0,22445094.0,-31.09,78.91,0.0,-1822545.0,2.76,179.0,0.0,0.96,KD(주),2.210584949249316,1,-29.60893854748604,0,0.0
2014,44180,1.175,0.0,20.0,22572073.0,-24.71,0.57,0.0,-4640386.0,2.19,126.0,0.0,0.9,KD(주),0.8227462361358939,1,73.80952380952381,1,1000.0
2015,44180,2.105,39.565,20.0,30009587.0,2.05,32.95,0.0,1439399.0,1.94,219.0,0.0,0.92,KD(주),1.067187229573676,2,-16.43835616438356,0,1.4960134873065227
2016,44180,1.2,146.365,20.0,35750504.0,0.05,19.13,0.0,1566518.0,1.27,183.0,0.0,0.73,KD(주),0.4693845993970442,1,-7.103825136612022,0,5.518732209498336
2017,44180,3.225,0.0,20.0,22401619.0,-74.59,-37.34,0.0,-10282184.0,0.56,170.0,0.0,0.28,KD(주),1.1577410761013922,1,-36.47058823529412,0,0.0
2011,24120,1.185,13.135000000000002,20.0,113600617.0,1.4,0.0,0.0,3662917.0,2.1,4785.0,138.0,1.06,KB오토시스(주),0.8112727172319635,2,-8.77742946708464,0,7.522962937844476
2012,24120,1.03,9.745,20.0,128469875.0,3.15,13.09,0.0,6508350.0,2.33,4365.0,352.0,1.22,KB오토시스(주),0.6765114795609508,2,-1.718213058419244,0,0.8348097187059894
2013,24120,0.91,9.04,20.0,128845652.0,3.24,0.29,0.0,7615979.0,2.23,4290.0,0.0,1.17,KB오토시스(주),0.6993709550375468,2,-9.557109557109555,0,0.3253099043663374
2014,24120,0.77,10.17,20.0,115491313.0,3.1,-10.36,0.0,6006696.0,1.92,3880.0,311.0,1.0,KB오토시스(주),0.5977612203544286,2,53.865979381443296,1,8.541997567574969
2015,24120,0.8049999999999999,5.890000000000001,30.0,129529485.0,4.17,12.16,0.0,8704863.0,2.05,5970.0,470.0,1.07,KB오토시스(주),0.6617458466732669,2,27.470686767169177,1,0.3340007289569244
2016,24120,1.005,6.210000000000001,30.0,167374755.0,8.53,29.22,0.0,18520842.0,2.36,7610.0,1241.0,1.24,KB오토시스(주),0.6695321074814038,2,-7.752956636005257,0,0.2139026145157397
2017,24120,0.985,10.71,30.0,164260096.0,7.47,-1.86,0.0,18366119.0,2.03,7020.0,1068.0,1.13,KB오토시스(주),0.6480203080584307,2,-22.934472934472936,0,0.5679741004778461
2011,10240,0.915,5.955,20.0,107972999.0,6.54,45.85,208940.0,10159396.0,2.91,4670.0,0.0,1.43,(주)흥국,1.1241353268075285,2,-17.45182012847966,0,0.4048465631826254
2012,10240,0.81,10.89,20.0,90278479.0,3.91,-16.39,202482.0,5543633.0,2.18,3855.0,572.0,1.0,(주)흥국,1.0845706838369955,2,5.836575875486381,0,0.0597955511982477
2013,10240,0.655,14.91,20.0,78820115.0,4.13,-12.69,213011.0,4994699.0,1.8,4080.0,0.0,0.91,(주)흥국,0.8619069989501671,2,-14.82843137254902,0,-0.5105510883286284
2014,10240,0.655,16.495,20.0,73042471.0,2.29,-7.33,289119.0,3113091.0,1.61,3475.0,271.0,0.9,(주)흥국,0.7616781787328981,2,26.618705035971225,1,-0.4793618304419877
2015,10240,0.685,17.605,20.0,64346196.0,2.19,-11.91,171969.0,2647754.0,1.39,4400.0,229.0,0.84,(주)흥국,0.6174981095867825,2,124.77272727272728,1,-1.001747210793472
2016,10240,1.3099999999999998,18.950000000000003,20.0,62732006.0,5.77,-2.51,199213.0,5153771.0,1.3,9890.0,587.0,0.88,(주)흥국,0.4152289121776915,2,-28.61476238624874,0,0.9563689690259553
2017,10240,1.115,11.155,20.0,91625420.0,7.59,46.06,270382.0,8824175.0,1.75,7060.0,1128.0,1.24,(주)흥국,0.4076046492057683,1,-9.34844192634561,0,0.2586551581025444
2011,39130,4.065,20.745,30.0,267812824.0,8.01,3.8,14932589.0,24163233.0,2.18,34200.0,0.0,0.98,(주)하나투어,1.2217901649663123,2,78.3625730994152,1,0.3515672958417358
2012,39130,4.18,19.28,30.0,307854268.0,12.15,14.95,16779581.0,39592577.0,1.98,61000.0,0.0,0.95,(주)하나투어,0.9650381790022436,2,6.065573770491803,1,0.1916600081097925
2013,39130,5.075,24.725,30.0,352655319.0,10.23,14.55,22846512.0,40359407.0,1.89,64700.0,0.0,0.97,(주)하나투어,0.8825910728438499,2,20.40185471406492,1,2.5966062350498595
2014,39130,5.645,29.45,30.0,385457930.0,9.18,9.3,30095923.0,40444440.0,2.03,77900.0,0.0,0.95,(주)하나투어,1.2137942230807035,2,47.625160462130935,1,2.4831448805054657
2015,39130,10.115,57.02,30.0,459425683.0,7.44,19.19,41825815.0,44749505.0,2.27,115000.0,0.0,0.98,(주)하나투어,1.2358696361421175,2,-42.52173913043478,0,-20.645570831971543
2016,39130,6.545,107.345,30.0,595538710.0,1.26,29.63,87724741.0,20931953.0,2.77,66100.0,0.0,1.16,(주)하나투어,1.43088088407888,1,55.824508320726174,1,-3.233885040148212
2017,39130,6.27,39.965,30.0,682307266.0,1.86,14.57,79985549.0,40830361.0,3.01,103000.0,0.0,1.21,(주)하나투어,1.5337187707037243,2,-33.20388349514563,0,-19.216782361051795
2011,5010,0.385,4.32,30.0,568623724.0,6.23,11.36,769022.0,40871311.0,1.56,18250.0,5124.0,1.12,(주)휴스틸,0.4123060145330109,2,35.89041095890411,1,-0.1816260750792278
2012,5010,0.4499999999999999,5.84,30.0,588890255.0,4.4,3.56,729559.0,41356406.0,1.53,24800.0,3741.0,1.08,(주)휴스틸,0.4226632998416152,2,-25.201612903225808,0,0.0421724447768407
2013,5010,0.405,21.175,30.0,547751902.0,1.13,-6.99,729934.0,17317956.0,1.38,18550.0,0.0,0.98,(주)휴스틸,0.3583042868032411,2,-4.043126684636119,0,-0.5859992327715289
2014,5010,0.325,9.095,30.0,553844427.0,2.72,1.11,739313.0,19449783.0,1.38,17800.0,2174.0,0.97,(주)휴스틸,0.4347145202233605,2,-13.48314606741573,0,-0.3652860727777854
2015,5010,0.345,68.215,30.0,438475425.0,0.16,-20.83,736405.0,8223454.0,1.11,15400.0,100.0,0.8,(주)휴스틸,0.2559133804509896,2,-0.0,0,-1.150966353696539
2016,5010,0.28,50.09,30.0,364021479.0,-0.15,-16.98,717059.0,1347078.0,0.93,15400.0,-80.0,0.66,(주)휴스틸,0.4780601453636159,1,0.3246753246753247,0,-1.4474001078447674
2017,5010,0.285,16.105,30.0,690567426.0,0.53,89.71,727877.0,22719403.0,1.81,15450.0,533.0,1.11,(주)휴스틸,0.7113517967076626,0,-25.24271844660194,0,-0.7359941883612123
2011,65510,3.13,13.525,20.0,57034489.0,16.6,24.48,908141.0,11487149.0,1.23,12350.0,0.0,0.89,(주)휴비츠,0.3642688643192535,2,19.838056680161944,1,0.6757837401445483
2012,65510,3.33,14.365000000000002,20.0,67333918.0,17.51,18.06,1051982.0,12581095.0,1.15,14800.0,0.0,0.89,(주)휴비츠,0.3159367161694406,2,3.040540540540541,0,2.36170057462576
2013,65510,4.93,0.0,20.0,64069932.0,0.51,-4.85,1098881.0,5649719.0,0.98,15250.0,0.0,0.69,(주)휴비츠,0.6435403493047027,2,10.81967213114754,1,1000.0
2014,65510,3.555,167.86,20.0,63992216.0,2.53,-0.12,919111.0,2806785.0,0.98,16900.0,0.0,0.61,(주)휴비츠,0.7006973700772844,2,-8.875739644970414,0,-3.221525513681001
2015,65510,4.39,45.535,20.0,72705901.0,10.21,13.62,938705.0,10518602.0,1.04,15400.0,0.0,0.66,(주)휴비츠,0.6790971564754131,2,-11.363636363636363,0,-1.9911594326468087
